step,task,loss,semantic_cloze_ranking_margin,semantic_cloze_ranking_accuracy,val_mlm_loss,best_val_mlm_loss,bad_evals,lr,elapsed_sec,early_stop,steps/mlm,steps/rtd,steps/connective,steps/definiteness,steps/collocation,steps/substitution,steps/function_word_recovery,steps/agreement_prediction,steps/grammar_minpair,steps/conceptual_plausibility_choice,steps/mlm_pair_ranking,steps/semantic_cloze_ranking
1,mlm,10.370723724365234,,,10.356061617533365,10.356061617533365,0,8.333333333333334e-07,2.3876585960388184,False,1,0,0,0,0,0,0,0,0,0,0,0
500,mlm,5.2063798904418945,2.781709671020508,0.9166666865348816,7.935320059458415,7.935320059458415,0,0.0004166666666666667,61.05118751525879,False,272,49,29,41,23,0,0,0,32,0,0,54
1000,semantic_cloze_ranking,0.010477982461452484,4.842440128326416,1.0,8.061005115509033,7.935320059458415,0,0.0004787234042553192,117.83762502670288,False,547,98,61,78,47,0,0,0,61,0,0,108
1500,mlm,4.605178356170654,5.7885637283325195,1.0,7.62813154856364,7.62813154856364,0,0.0004521276595744681,178.0064513683319,False,827,155,85,109,72,0,0,0,89,0,0,163
2000,mlm,4.420241355895996,6.33894157409668,1.0,7.2663187980651855,7.2663187980651855,0,0.000425531914893617,238.60498881340027,False,1099,223,122,147,101,0,0,0,101,0,0,207
2500,mlm,4.296003818511963,6.492424011230469,1.0,7.436449845631917,7.2663187980651855,0,0.00039893617021276594,298.5099380016327,False,1384,269,160,193,123,0,0,0,124,0,0,247
3000,connective,1.6664520502090454,7.000539779663086,1.0,7.2637027104695635,7.2663187980651855,0,0.0003723404255319149,355.9307448863983,False,1650,327,203,228,142,0,0,0,149,0,0,301
3500,rtd,0.17169466614723206,7.267646312713623,1.0,7.437454541524251,7.2663187980651855,0,0.0003457446808510639,418.1714389324188,False,1944,374,229,269,163,0,0,0,173,0,0,348
4000,mlm,3.573521375656128,7.682572841644287,1.0,7.08405065536499,7.08405065536499,0,0.0003191489361702128,479.2303161621094,False,2225,435,261,304,188,0,0,0,190,0,0,397
4500,mlm,4.196982383728027,8.151094436645508,1.0,7.2167714436848955,7.08405065536499,0,0.0002925531914893617,537.6891207695007,False,2491,493,297,342,208,0,0,0,207,0,0,462
5000,mlm,3.3712480068206787,8.107245445251465,1.0,6.885202248891194,6.885202248891194,0,0.00026595744680851064,595.5891304016113,False,2764,539,337,377,240,0,0,0,227,0,0,516
5500,rtd,0.16355633735656738,8.397073745727539,1.0,7.033898989359538,6.885202248891194,0,0.0002393617021276596,653.4526476860046,False,3054,588,374,413,259,0,0,0,250,0,0,562
6000,rtd,0.1703777313232422,8.666533470153809,1.0,6.999388853708903,6.885202248891194,0,0.0002127659574468085,713.8684611320496,False,3338,639,412,441,281,0,0,0,273,0,0,616
6500,grammar_minpair,0.00799837987869978,8.508495330810547,1.0,6.940008004506429,6.885202248891194,0,0.00018617021276595746,770.6815886497498,False,3611,697,448,472,307,0,0,0,289,0,0,676
7000,definiteness,0.41201719641685486,8.462667465209961,1.0,6.897584279378255,6.885202248891194,0,0.0001595744680851064,828.6119558811188,False,3885,740,482,510,329,0,0,0,320,0,0,734
7500,mlm,2.891674518585205,8.58289623260498,1.0,6.912535508473714,6.885202248891194,0,0.00013297872340425532,884.7222135066986,False,4138,787,522,546,357,0,0,0,353,0,0,797
8000,mlm,2.879589080810547,8.786772727966309,1.0,6.908933321634929,6.885202248891194,0,0.00010638297872340425,943.1517314910889,False,4408,836,564,582,378,0,0,0,375,0,0,857
8500,mlm,3.2729456424713135,8.786772727966309,1.0,6.942755063374837,6.885202248891194,0,7.97872340425532e-05,1026.1296088695526,False,4908,836,564,582,378,0,0,0,375,0,0,857
9000,mlm,3.043503522872925,8.786772727966309,1.0,6.830217043558757,6.830217043558757,0,5.319148936170213e-05,1107.46631193161,False,5408,836,564,582,378,0,0,0,375,0,0,857
9500,mlm,3.137948513031006,8.786772727966309,1.0,6.881967862447103,6.830217043558757,1,2.6595744680851064e-05,1191.345204591751,False,5908,836,564,582,378,0,0,0,375,0,0,857
10000,mlm,3.3621692657470703,8.786772727966309,1.0,6.887399355570476,6.830217043558757,2,0.0,1275.214833498001,False,6408,836,564,582,378,0,0,0,375,0,0,857
