step,task,loss,val_mlm_loss,best_val_mlm_loss,bad_evals,lr,elapsed_sec,early_stop,steps/mlm,steps/rtd,steps/connective,steps/definiteness,steps/collocation,steps/substitution,steps/function_word_recovery,steps/agreement_prediction,steps/grammar_minpair,steps/conceptual_plausibility_choice,steps/mlm_pair_ranking
1,mlm,10.327686309814453,10.356061617533365,10.356061617533365,0,8.333333333333333e-05,2.1100645065307617,False,1,0,0,0,0,0,0,0,0,0,0
100,mlm,5.61141300201416,7.85720427831014,7.85720427831014,0,0.0,18.372570276260376,False,67,9,5,6,4,0,0,0,0,0,9
