step,train_loss,val_loss,lr,elapsed_sec
1,10.34671688079834,10.356061617533365,8.333333333333334e-07,2.4458608627319336
500,6.060452461242676,6.042384783426921,0.0004166666666666667,278.52830815315247
1000,5.173617362976074,5.307259877522786,0.0004787234042553192,560.4185955524445
1500,4.161153316497803,4.4467879931132,0.0004521276595744681,836.8900589942932
2000,3.766484022140503,3.931981086730957,0.000425531914893617,1120.0108501911163
2500,3.5124504566192627,3.7187318007151284,0.00039893617021276594,1395.937397480011
3000,3.386657476425171,3.5214434464772544,0.0003723404255319149,1687.1844036579132
3500,3.376865863800049,3.5209010442097983,0.0003457446808510639,1967.9854817390442
4000,3.275726079940796,3.359138091405233,0.0003191489361702128,2256.6985075473785
4500,3.3078908920288086,3.3378411134084067,0.0002925531914893617,2545.4818861484528
5000,3.2177629470825195,3.2068424224853516,0.00026595744680851064,2823.8938250541687
5500,3.2955374717712402,3.2780652046203613,0.0002393617021276596,3105.909819126129
6000,3.0102624893188477,3.1237846215566,0.0002127659574468085,3395.5890839099884
6500,3.1496715545654297,3.0737757682800293,0.00018617021276595746,3679.8092000484467
7000,2.98596453666687,3.093510945638021,0.0001595744680851064,3954.207377433777
7500,3.151405096054077,3.091882864634196,0.00013297872340425532,4242.329066753387
8000,2.8935375213623047,3.0248489379882812,0.00010638297872340425,4524.770565748215
8500,2.9459550380706787,3.054159959157308,7.97872340425532e-05,4798.334253787994
9000,2.9056482315063477,3.090236028035482,5.319148936170213e-05,5067.070620059967
9500,2.9323923587799072,3.038458824157715,2.6595744680851064e-05,5354.090133905411
10000,2.9660542011260986,3.0540200074513755,0.0,5655.466817140579
