step,task,loss,semantic_cloze_ranking_margin,semantic_cloze_ranking_accuracy,val_mlm_loss,best_val_mlm_loss,bad_evals,lr,elapsed_sec,early_stop,steps/mlm,steps/rtd,steps/connective,steps/definiteness,steps/collocation,steps/grammar_minpair,steps/semantic_cloze_ranking
1,mlm,10.370723724365234,,,10.356061617533365,10.356061617533365,0,2.7777777777777776e-05,2.3061254024505615,False,1,0,0,0,0,0,0
300,mlm,5.760776042938232,,,7.786096572875977,7.786096572875977,0,0.0,38.35381054878235,False,166,33,27,23,17,18,16
