System,Seeds,Val Loss,Val Loss sd,BLiMP,BLiMP sd,Sup.,Sup. sd,Entity,Entity sd,COMPS,COMPS sd,Eye,Eye sd,SPR,SPR sd
Random MLM,"1,2",3.0870726704597473,0.08123543740014057,62.785,0.03535533905933039,55.86,0.07071067811865073,16.77,1.315218613006978,50.305,0.28991378028648207,1.55,0.8061017305526643,2.155,0.5303300858899105
Accuracy-Morph,"1,2",3.0715403258800507,0.08632277274964803,62.709999999999994,0.07071067811865575,55.6,0.6081118318204305,22.28,4.582051942088828,50.3,0.2262741699796954,1.9300000000000002,0.565685424949238,2.34,0.3252691193458118
Accuracy-Morph - Random,"paired 1,2",-0.015532344579696655,0.005087335349507464,-0.07500000000000284,0.10606601717798615,-0.259999999999998,0.5374011537017798,5.51,3.2668333290818503,-0.004999999999999005,0.5161879502661775,0.38,0.24041630560342622,0.18499999999999994,0.20506096654409864
