condition,final_val_loss,final_train_loss,steps
Random baseline,8.652441024780273,8.766180038452148,20
HHM entity+error,8.67027473449707,8.856216430664062,20
Entity only,8.6535062789917,8.7354736328125,20
Error only,8.661054611206055,8.77301025390625,20
Random sketch control,8.646244049072266,8.670125961303711,20
Frequency only,8.72378158569336,9.064851760864258,20
